year,npgo,columbia_discharge,quazi_bi_std,sog_seals,ps_seals,juan_seals,coast_seals,salish_herring,max_temp,precip,sst,sst_arc
1970,-0.31,253700,,2973.089247,1576.768828,283.679627,506.3110808,,13.54673913,194.4,9.81,-0.555201363
1971,0.1,410600,,3153.406579,1931.045858,347.4183146,625.1987567,,13.07173913,277.7,9.78,-0.935216983
1972,-0.54,420900,,3344.660125,2323.882092,418.0942656,759.8063306,,14.62173913,293.7,9.99,-0.435185503
1973,-0.21,144033,,3545.885556,2752.227867,495.158809,909.8926722,31189,14.31413043,116.4,9.72,-0.774937296
1974,-0.47,381100,,3865.870917,3212.173517,577.9085488,1074.87771,54534,14.07173913,243.9,9.99,-0.42109394
1975,0.78,282533,,4388.140397,3699.149765,665.5214177,1253.870033,82890,13.25543478,164.8,9.85,-1.137565823
1976,1.31,305533,,4978.87752,4208.138562,757.0946081,1443.529992,80618,14,152.4,9.7,-0.812862786
1977,1.65,121233,,5567.262898,4733.879071,851.6816323,1663.326727,97849,14.90217391,204.7,9.96,0.0072301
1978,1.02,242867,,6226.638486,4732.29,638.0100001,1911.748564,118242,14.90978261,213.7,10.36,-0.164092307
1979,-0.46,199633,0.273,6964.109212,5840.982457,1050.862812,2175.389068,80268,16.13478261,82.5,10.35,0.21029023
1980,-1.59,232633,-0.423,7788.924509,6417.520955,1154.589004,2507.670001,107953,14.11630435,160.3,10.23,-0.256154879
1981,-0.67,255033,0.697,8711.429297,6996.377827,1258.732299,2565.81,71024,14.73586957,131,10.11,0.282842244
1982,-0.56,339700,-1.107,9739.265207,7573.694523,1362.598499,3107.943267,116705,13.85108696,163.4,11.07,-0.47813039
1983,0.5,297033,1.02,11164.34634,7594.447944,1350.990001,3609.269999,85077,15.85869565,177.2,11.54,0.109153091
1984,0.3,325400,-0.863,12905.21523,9464.157254,1568.250001,3579.208455,43723,14.11304348,257.9,10.75,0.151044351
1985,0.16,215967,0.363,14330.13492,8957.328203,1970.640001,3853.860002,42117,13.94456522,120,10.86,-0.218204901
1986,-0.9,268267,0.927,15991.89543,9045.868491,1298.97,2737.170001,57411,14.75978261,146.8,10.84,0.053768348
1987,0.58,179533,-0.877,19232.75625,9608.363973,1554.48,4902.119999,56069,16.2923913,267.3,10.87,-0.276376541
1988,0.96,167333,0.623,21605.2007,11765.406,2322.54,4812.697814,37977,14.6673913,253.3,10.66,-0.220489463
1989,0.97,222400,-0.133,24876.63734,11663.32035,2145.060001,5610.51,79650,15.225,289.3,10.79,0.174606448
1990,0.21,253433,-0.307,28718.0137,11781.95705,1747.26,5324.068927,82588,15.19891304,180.6,11.39,0.357316227
1991,-0.62,275433,0.797,27530.09234,13439.52,1894.14,5862.959999,60797,13.69347826,319.9,10.55,-0.294367106
1992,-0.26,182600,-1.14,26357.67756,13799.07,2417.4,6412.23,95284,17.82608696,150.4,10.93,0.596018105
1993,-2.23,229700,0.95,32905.28954,15938.01,3295.620001,5422.320001,105555,15.86195652,310.2,10.78,0.513727288
1994,-1.9,183833,-0.697,41049.55851,15114.11807,2276.639999,5362.649997,82467,16.36630435,174.9,11.07,0.318088416
