release_year,releases,region
1952,5013995,COL
1953,8963113,COL
1954,5640768,COL
1955,12125110,COL
1956,8622842,COL
1957,8624792,COL
1958,13269150,COL
1959,20368436,COL
1960,20802132,COL
1961,19076863,COL
1962,14371181,COL
1963,19486201,COL
1964,27778470,COL
1965,23462242,COL
1966,19505412,COL
1967,20768418,COL
1968,24520353,COL
1969,25726597,COL
1970,34594087,COL
1971,22399621,COL
1972,28182108,COL
1973,39131931,COL
1974,43410703,COL
1975,48941144,COL
1976,75527940,COL
1977,84980599,COL
1978,97442203,COL
1979,117040556,COL
1980,132000975,COL
1981,152463171,COL
1982,103719524,COL
1983,122085560,COL
1984,136905383,COL
1985,90357509,COL
1986,118018927,COL
1987,123662334,COL
1988,132384301,COL
1989,133665029,COL
1990,127363297,COL
1991,136014159,COL
1992,137792924,COL
1993,117082528,COL
1994,127743653,COL
1995,142129457,COL
1996,118762191,COL
1997,97877485,COL
1998,100230639,COL
1999,92993092,COL
2000,96574622,COL
2001,88075089,COL
2002,100736313,COL
2003,107802475,COL
2004,99875786,COL
2005,93938689,COL
2006,98908799,COL
2007,104842486,COL
2008,94594564,COL
2009,101536190,COL
2010,107142486,COL
2011,101000560,COL
2012,102340734,COL
2013,103095257,COL
2014,101101778,COL
2015,100042920,COL
2016,93697733,COL
2017,95514760,COL
2018,97571398,COL
1952,23485,PS
1953,15687354,PS
1954,11999508,PS
1955,14668837,PS
1956,11205907,PS
1957,29836218,PS
1958,25477613,PS
1959,25087625,PS
1960,35203618,PS
1961,29819610,PS
1962,43721189,PS
1963,36240011,PS
1964,40981039,PS
1965,45549893,PS
1966,31583238,PS
1967,29956408,PS
1968,36071130,PS
1969,40637725,PS
1970,36830444,PS
1971,38676721,PS
1972,39051427,PS
1973,35670042,PS
1974,25959149,PS
1975,28689057,PS
1976,27011272,PS
1977,25677082,PS
1978,31406653,PS
1979,41546774,PS
1980,49589346,PS
1981,48188881,PS
1982,60192125,PS
1983,60087868,PS
1984,59406398,PS
1985,50907861,PS
1986,56953556,PS
1987,53679115,PS
1988,54468958,PS
1989,53044542,PS
1990,55957416,PS
1991,52951372,PS
1992,49538021,PS
1993,41094808,PS
1994,40855731,PS
1995,45771246,PS
1996,49876342,PS
1997,50836511,PS
1998,51087239,PS
1999,53408303,PS
2000,47870004,PS
2001,44936051,PS
2002,46758907,PS
2003,43522694,PS
2004,43471842,PS
2005,40093072,PS
2006,40003015,PS
2007,42963958,PS
2008,44182945,PS
2009,43035751,PS
2010,41164102,PS
2011,43761225,PS
2012,41579438,PS
2013,39948319,PS
2014,40193277,PS
2015,41501265,PS
2016,40904729,PS
2017,40434840,PS
2018,44594780,PS
1952,552240,COAST
1953,4174772,COAST
1954,1616713,COAST
1955,3065192,COAST
1956,2541867,COAST
1957,4374081,COAST
1958,3393502,COAST
1959,1295553,COAST
1960,2321534,COAST
1961,717945,COAST
1962,668160,COAST
1963,1206692,COAST
1964,2056999,COAST
1965,3613375,COAST
1966,2817164,COAST
1967,2428503,COAST
1968,3783755,COAST
1969,6842200,COAST
1970,7380639,COAST
1971,3906841,COAST
1972,3794583,COAST
1973,7742273,COAST
1974,6964222,COAST
1975,6940381,COAST
1976,6734304,COAST
1977,11260014,COAST
1978,23278643,COAST
1979,15037871,COAST
1980,17171036,COAST
1981,20275986,COAST
1982,21835681,COAST
1983,25542743,COAST
1984,25447513,COAST
1985,29969946,COAST
1986,30277254,COAST
1987,37474346,COAST
1988,34386571,COAST
1989,37235870,COAST
1990,42754912,COAST
1991,36957597,COAST
1992,36613303,COAST
1993,41441329,COAST
1994,42564200,COAST
1995,41288707,COAST
1996,36650170,COAST
1997,41322660,COAST
1998,40686234,COAST
1999,34668593,COAST
2000,28342089,COAST
2001,30094252,COAST
2002,33584052,COAST
2003,34572952,COAST
2004,34439799,COAST
2005,30873245,COAST
2006,28477260,COAST
2007,31915580,COAST
2008,26916683,COAST
2009,28181965,COAST
2010,28301496,COAST
2011,29567841,COAST
2012,30287394,COAST
2013,28292014,COAST
2014,30758271,COAST
2015,28203763,COAST
2016,27481251,COAST
2017,27409578,COAST
2018,28478366,COAST
1972,793144,SOG
1973,718069,SOG
1974,797465,SOG
1975,446535,SOG
1976,2097609,SOG
1977,2516538,SOG
1978,5347410,SOG
1979,4673321,SOG
1980,7671332,SOG
1981,9491941,SOG
1982,7603155,SOG
1983,10200387,SOG
1984,13436213,SOG
1985,16566479,SOG
1986,21963570,SOG
1987,28664649,SOG
1988,36405824,SOG
1989,34409505,SOG
1990,30398460,SOG
1991,33266820,SOG
1992,29048103,SOG
1993,25507189,SOG
1994,22602925,SOG
1995,23624151,SOG
1996,22557997,SOG
1997,25642721,SOG
1998,21054938,SOG
1999,26143305,SOG
2000,25341963,SOG
2001,22456380,SOG
2002,27401117,SOG
2003,24316347,SOG
2004,23383061,SOG
2005,21428411,SOG
2006,21988001,SOG
2007,22798825,SOG
2008,20082027,SOG
2009,21485821,SOG
2010,18698615,SOG
2011,17506613,SOG
2012,19728032,SOG
2013,17529440,SOG
2014,14821689,SOG
2015,16550496,SOG
2016,16253595,SOG
2017,17017517,SOG
2018,17554110,SOG
