brood_year,stock_id,stock_name,region_id,life_hist,surv,origin,basin,exclude,dataset
1971,BQR,Big Qualicum,SOG,SY,NA,H,SOG,No,2
1972,BQR,Big Qualicum,SOG,SY,NA,H,SOG,No,2
1973,BQR,Big Qualicum,SOG,SY,0.0938,H,SOG,No,2
1974,BQR,Big Qualicum,SOG,SY,0.2544,H,SOG,No,2
1975,BQR,Big Qualicum,SOG,SY,0.0935,H,SOG,No,2
1976,BQR,Big Qualicum,SOG,SY,0.2062,H,SOG,No,2
1977,BQR,Big Qualicum,SOG,SY,0.0382,H,SOG,No,2
1978,BQR,Big Qualicum,SOG,SY,0.0205,H,SOG,No,2
1979,BQR,Big Qualicum,SOG,SY,0.0089,H,SOG,No,2
1980,BQR,Big Qualicum,SOG,SY,0.0083,H,SOG,No,2
1981,BQR,Big Qualicum,SOG,SY,0.0186,H,SOG,No,2
1982,BQR,Big Qualicum,SOG,SY,0.0299,H,SOG,No,2
1983,BQR,Big Qualicum,SOG,SY,0.0263,H,SOG,No,2
1984,BQR,Big Qualicum,SOG,SY,0.0042,H,SOG,No,2
1985,BQR,Big Qualicum,SOG,SY,0.0044,H,SOG,No,2
1986,BQR,Big Qualicum,SOG,SY,0.0131,H,SOG,No,2
1987,BQR,Big Qualicum,SOG,SY,0.0052,H,SOG,No,2
1988,BQR,Big Qualicum,SOG,SY,0.0113,H,SOG,No,2
1989,BQR,Big Qualicum,SOG,SY,0.0069,H,SOG,No,2
1990,BQR,Big Qualicum,SOG,SY,0.0077,H,SOG,No,2
1991,BQR,Big Qualicum,SOG,SY,0.0041,H,SOG,No,2
1992,BQR,Big Qualicum,SOG,SY,0.0012,H,SOG,No,2
1993,BQR,Big Qualicum,SOG,SY,0.0058,H,SOG,No,2
1994,BQR,Big Qualicum,SOG,SY,0.004,H,SOG,No,2
1995,BQR,Big Qualicum,SOG,SY,0.0023,H,SOG,No,2
1996,BQR,Big Qualicum,SOG,SY,0.0038,H,SOG,No,2
1997,BQR,Big Qualicum,SOG,SY,0.0056,H,SOG,No,2
1998,BQR,Big Qualicum,SOG,SY,0.0053,H,SOG,No,2
1999,BQR,Big Qualicum,SOG,SY,0.0048,H,SOG,No,2
2000,BQR,Big Qualicum,SOG,SY,0.0027,H,SOG,No,2
2001,BQR,Big Qualicum,SOG,SY,0.0067,H,SOG,No,2
2002,BQR,Big Qualicum,SOG,SY,0.0054,H,SOG,No,2
2003,BQR,Big Qualicum,SOG,SY,0.013,H,SOG,No,2
2004,BQR,Big Qualicum,SOG,SY,0.0016,H,SOG,No,2
2005,BQR,Big Qualicum,SOG,SY,0.0074,H,SOG,No,2
2006,BQR,Big Qualicum,SOG,SY,0.0074,H,SOG,No,2
2007,BQR,Big Qualicum,SOG,SY,0.0053,H,SOG,No,2
2008,BQR,Big Qualicum,SOG,SY,0.0056,H,SOG,No,2
2009,BQR,Big Qualicum,SOG,SY,0.0042,H,SOG,No,2
2010,BQR,Big Qualicum,SOG,SY,0.004,H,SOG,No,2
2011,BQR,Big Qualicum,SOG,SY,0.0157,H,SOG,No,2
2012,BQR,Big Qualicum,SOG,SY,0.01,H,SOG,No,2
2013,BQR,Big Qualicum,SOG,SY,0.0066,H,SOG,No,2
1971,CHI,Chilliwack,FRA,SY,NA,H,SOG,No,2
1972,CHI,Chilliwack,FRA,SY,NA,H,SOG,No,2
1973,CHI,Chilliwack,FRA,SY,NA,H,SOG,No,2
1974,CHI,Chilliwack,FRA,SY,NA,H,SOG,No,2
1975,CHI,Chilliwack,FRA,SY,NA,H,SOG,No,2
1976,CHI,Chilliwack,FRA,SY,NA,H,SOG,No,2
1977,CHI,Chilliwack,FRA,SY,NA,H,SOG,No,2
