release_year,releases,region
1952,3.013343,PS
1953,9.975794,PS
1954,5.015913,PS
1955,5.421838,PS
1956,4.375466,PS
1957,7.296451,PS
1958,11.62735,PS
1959,11.160517,PS
1960,6.029536,PS
1961,13.316644,PS
1962,13.611122,PS
1963,9.064862,PS
1964,10.136434,PS
1965,9.594875,PS
1966,14.743917,PS
1967,9.963783,PS
1968,11.868812,PS
1969,10.55902,PS
1970,16.842699,PS
1971,20.300542,PS
1972,14.332677,PS
1973,16.761158,PS
1974,19.983699,PS
1975,20.950845,PS
1976,22.525413,PS
1977,18.029833,PS
1978,15.749978,PS
1979,24.435571,PS
1980,28.397598,PS
1981,35.026306,PS
1982,21.210111,PS
1983,15.256008,PS
1984,16.170663,PS
1985,16.353854,PS
1986,17.588533,PS
1987,17.432529,PS
1988,18.435036,PS
1989,18.384859,PS
1990,20.277164,PS
1991,17.719405,PS
1992,20.521753,PS
1993,17.367402,PS
1994,17.716292,PS
1995,17.765387,PS
1996,17.882002,PS
1997,16.627647,PS
1998,17.371047,PS
1999,16.154365,PS
2000,15.404496,PS
2001,12.838411,PS
2002,13.180161,PS
2003,12.879995,PS
2004,12.253322,PS
2005,12.571808,PS
2006,11.752541,PS
2007,10.67904,PS
2008,9.708896,PS
2009,11.573343,PS
2010,10.246968,PS
2011,10.748028,PS
2012,12.51745,PS
2013,11.795185,PS
2014,12.665868,PS
2015,11.99008,PS
2016,10.34781,PS
2017,10.280744,PS
2018,12.20884,PS
1952,0.915297,COL
1953,1.589459,COL
1954,3.299128,COL
1955,4.06101,COL
1956,3.206844,COL
1957,3.606794,COL
1958,7.545102,COL
1959,3.770736,COL
1960,3.909271,COL
1961,11.191595,COL
1962,9.862918,COL
1963,10.99142,COL
1964,9.158537,COL
1965,8.630514,COL
1966,9.330203,COL
1967,14.034294,COL
1968,9.149868,COL
1969,17.551481,COL
1970,15.908234,COL
1971,34.14281,COL
1972,19.123089,COL
1973,17.106414,COL
1974,16.685894,COL
1975,18.661427,COL
1976,24.746756,COL
1977,27.473314,COL
1978,26.457953,COL
1979,22.232129,COL
1980,26.823495,COL
1981,30.003676,COL
1982,23.49456,COL
1983,27.072177,COL
1984,32.945849,COL
1985,29.520979,COL
1986,34.411105,COL
1987,28.798123,COL
1988,29.751636,COL
1989,28.120594,COL
1990,30.697583,COL
1991,33.869139,COL
1992,33.368754,COL
1993,34.745903,COL
1994,27.066433,COL
1995,25.508314,COL
1996,30.853153,COL
1997,20.499764,COL
1998,26.019456,COL
1999,27.613058,COL
2000,28.709966,COL
2001,25.155134,COL
2002,23.867036,COL
2003,23.213405,COL
2004,22.512049,COL
2005,19.334922,COL
2006,19.7605,COL
2007,20.585013,COL
2008,20.437315,COL
2009,19.877811,COL
2010,18.359725,COL
2011,16.578528,COL
2012,16.407299,COL
2013,16.750271,COL
2014,17.202418,COL
2015,15.579633,COL
2016,16.756177,COL
2017,14.496062,COL
2018,17.916513,COL
1952,1.557457,COAST
1953,3.064782,COAST
1954,4.646795,COAST
1955,5.559322,COAST
1956,5.110754,COAST
1957,5.253769,COAST
1958,10.661237,COAST
1959,6.979598,COAST
1960,5.519324,COAST
1961,12.930872,COAST
1962,14.323853,COAST
1963,12.027257,COAST
1964,11.667145,COAST
1965,12.077206,COAST
1966,13.115713,COAST
1967,16.901407,COAST
1968,12.687086,COAST
1969,22.13129,COAST
1970,21.656149,COAST
1971,42.766297,COAST
1972,5.315941,COAST
1973,6.369259,COAST
1974,5.841771,COAST
1975,7.105243,COAST
1976,8.656887,COAST
1977,10.680146,COAST
1978,15.151675,COAST
1979,14.291432,COAST
1980,19.274481,COAST
1981,24.389241,COAST
1982,23.094876,COAST
1983,18.470898,COAST
1984,24.231718,COAST
1985,23.178812,COAST
1986,18.774019,COAST
1987,17.549812,COAST
1988,17.355203,COAST
1989,18.443306,COAST
1990,17.22986,COAST
1991,15.441678,COAST
1992,17.155606,COAST
1993,15.162628,COAST
1994,15.947732,COAST
1995,13.017309,COAST
1996,12.289635,COAST
1997,12.44378,COAST
1998,10.589448,COAST
1999,10.13648,COAST
2000,10.228355,COAST
2001,10.806809,COAST
2002,11.582985,COAST
2003,9.833418,COAST
2004,9.019657,COAST
2005,8.441719,COAST
2006,8.704556,COAST
2007,8.619853,COAST
2008,8.44619,COAST
2009,8.725523,COAST
