year,stock_id,stock_name,origin,region_id,surv,basin,exclude,dataset_id
1972,BAK_H,Baker hatchery,H,NPS,NA,PS,No,1
1973,BAK_H,Baker hatchery,H,NPS,NA,PS,No,1
1974,BAK_H,Baker hatchery,H,NPS,NA,PS,No,1
1975,BAK_H,Baker hatchery,H,NPS,NA,PS,No,1
1976,BAK_H,Baker hatchery,H,NPS,NA,PS,No,1
1977,BAK_H,Baker hatchery,H,NPS,NA,PS,No,1
1978,BAK_H,Baker hatchery,H,NPS,NA,PS,No,1
1979,BAK_H,Baker hatchery,H,NPS,NA,PS,No,1
1980,BAK_H,Baker hatchery,H,NPS,NA,PS,No,1
1981,BAK_H,Baker hatchery,H,NPS,NA,PS,No,1
1982,BAK_H,Baker hatchery,H,NPS,NA,PS,No,1
1983,BAK_H,Baker hatchery,H,NPS,0.0177,PS,No,1
1984,BAK_H,Baker hatchery,H,NPS,NA,PS,No,1
1985,BAK_H,Baker hatchery,H,NPS,0.0403,PS,No,1
1986,BAK_H,Baker hatchery,H,NPS,NA,PS,No,1
1987,BAK_H,Baker hatchery,H,NPS,0.0331,PS,No,1
1988,BAK_H,Baker hatchery,H,NPS,0.036,PS,No,1
1989,BAK_H,Baker hatchery,H,NPS,NA,PS,No,1
1990,BAK_H,Baker hatchery,H,NPS,NA,PS,No,1
1991,BAK_H,Baker hatchery,H,NPS,NA,PS,No,1
1992,BAK_H,Baker hatchery,H,NPS,NA,PS,No,1
1993,BAK_H,Baker hatchery,H,NPS,0.0829,PS,No,1
1994,BAK_H,Baker hatchery,H,NPS,NA,PS,No,1
1995,BAK_H,Baker hatchery,H,NPS,NA,PS,No,1
1996,BAK_H,Baker hatchery,H,NPS,NA,PS,No,1
1997,BAK_H,Baker hatchery,H,NPS,NA,PS,No,1
1998,BAK_H,Baker hatchery,H,NPS,NA,PS,No,1
1999,BAK_H,Baker hatchery,H,NPS,NA,PS,No,1
2000,BAK_H,Baker hatchery,H,NPS,NA,PS,No,1
2001,BAK_H,Baker hatchery,H,NPS,NA,PS,No,1
2002,BAK_H,Baker hatchery,H,NPS,NA,PS,No,1
2003,BAK_H,Baker hatchery,H,NPS,NA,PS,No,1
2004,BAK_H,Baker hatchery,H,NPS,NA,PS,No,1
2005,BAK_H,Baker hatchery,H,NPS,NA,PS,No,1
2006,BAK_H,Baker hatchery,H,NPS,NA,PS,No,1
2007,BAK_H,Baker hatchery,H,NPS,NA,PS,No,1
2008,BAK_H,Baker hatchery,H,NPS,NA,PS,No,1
2009,BAK_H,Baker hatchery,H,NPS,NA,PS,No,1
2010,BAK_H,Baker hatchery,H,NPS,NA,PS,No,1
2011,BAK_H,Baker hatchery,H,NPS,NA,PS,No,1
2012,BAK_H,Baker hatchery,H,NPS,NA,PS,No,1
2013,BAK_H,Baker hatchery,H,NPS,NA,PS,No,1
2014,BAK_H,Baker hatchery,H,NPS,NA,PS,No,1
2015,BAK_H,Baker hatchery,H,NPS,NA,PS,No,1
2016,BAK_H,Baker hatchery,H,NPS,NA,PS,No,1
2017,BAK_H,Baker hatchery,H,NPS,NA,PS,No,1
